,name,time,tweet,Source,Likes,RTs,Localization
117,Gustavo,2022-11-08 15:13:02+00:00,"@SorayaThronicke Quem trouxe o loola foi o STF... Em uma manobra política ele foi descondenado, a mídia, inflando d… https://t.co/nowPT4kZRw",Twitter for Android,0,0,"Rio de Janeiro, Brasil"
118,Fã do bolsonaro,2022-11-08 14:12:44+00:00,"@MuchiutiC @JamilChade E ia votar em qm?? Pelo menos Lula fez alguma coisa pra pobre, eu votaria na tabet fácil se vc ela e lula",Twitter for Android,0,0,
119,Nem Tô,2022-11-08 14:09:07+00:00,@choquei é bom levar Tabet pra ver se ela começa a ficar mais sensível com questoes ambientais.,Twitter for Android,0,0,Salvador/BA
120,Pode ir me tirando,2022-11-08 14:06:49+00:00,"@antoniotabet Tabet, me segue pra eu poder comentar nos seus tweets, sou fã",Twitter Web App,0,0,Goiânia
121,Frank 🔴⚫ 🔴⚪,2022-11-08 14:03:43+00:00,"@prizellybombinh @choquei Uai e o que a tabet tem aver com o voto de terceiros ? 

Agr a moça e lixo descartável pr… https://t.co/Nqu6rOunbG",Twitter for Android,11,0,
122,Alrischa #Lulalá brilha nossa estrela,2022-11-08 13:39:39+00:00,@choquei Tabet colada em todas,Twitter for Android,0,0,"Salvador, Brasil"
123,⍟⎊Stony é cânon - fanfic no fix 📖,2022-11-08 13:33:20+00:00,@choquei O ruim e ter que ficar engolindo a Tabet depois das eleições 🙄,Twitter for Android,0,0,
124,karim🌹🇧🇷,2022-11-08 12:55:36+00:00,"Não façam a falsa equivalência de que ter sido a favor do golpe se compensa estando hoje contra o Bolsonaro.

O Gol… https://t.co/ur8dmH5izm",Twitter for Android,3,0,"Jijoca de Jericoacoara, Brasil"
125,Zé da Fiel,2022-11-08 11:57:09+00:00,"@JornalismoWando Bolzonaro foi eleito sim graças ao SuperPop, como candidato de um partido pequeno ele não teria vi… https://t.co/ncWuvIDWON",Twitter for Android,5,0,São Paulo Brazil
126,A.Duayer,2022-11-08 11:07:24+00:00,"Fiquei aqui pensando , em um universo paralelo, onde @simonetebetbr &amp; @antoniotabet tem uma filha chamada Tabata. T… https://t.co/Vc6yYewEd9",Twitter for iPhone,3,1,"São Paulo, Brazil"
127,Jady Paschoal,2022-11-08 09:31:15+00:00,"@senadorhumberto Chega a ser ridículo, com ministros como boulos, Janines e tabet entre outros cada um mais desprep… https://t.co/jJn9hqaNkF",Twitter for iPhone,4,0,
128,🪳Barata Cascuda🪳,2022-11-08 09:02:46+00:00,Aaa como eu queria ter ido pro Show da Simone Tabet https://t.co/Cpr3P0sS0y,Twitter for Android,2,0,"João Pessoa, Brasil"
